age,Sr87_86Sr,CI_plus,CI_minus
15.50,0.708758,0.708762,0.708754
15.55,0.708755,0.708759,0.708751
15.60,0.708751,0.708755,0.708747
15.65,0.708748,0.708752,0.708744
15.70,0.708745,0.708749,0.708741
15.75,0.708741,0.708745,0.708737
15.80,0.708738,0.708742,0.708734
15.85,0.708735,0.708739,0.708731
15.90,0.708731,0.708735,0.708727
15.95,0.708728,0.708732,0.708724
16.00,0.708724,0.708728,0.708720
16.05,0.708720,0.708725,0.708716
16.10,0.708717,0.708721,0.708713
16.15,0.708713,0.708717,0.708709
16.20,0.708710,0.708714,0.708705
16.25,0.708706,0.708711,0.708702
16.30,0.708703,0.708707,0.708698
16.35,0.708699,0.708704,0.708695
16.40,0.708696,0.708700,0.708692
16.45,0.708692,0.708697,0.708688
16.50,0.708689,0.708693,0.708685
16.55,0.708685,0.708690,0.708681
16.60,0.708682,0.708686,0.708678
16.65,0.708678,0.708682,0.708674
16.70,0.708675,0.708679,0.708670
16.75,0.708671,0.708675,0.708667
16.80,0.708667,0.708671,0.708663
16.85,0.708664,0.708668,0.708660
16.90,0.708660,0.708664,0.708656
16.95,0.708656,0.708660,0.708652
17.00,0.708652,0.708657,0.708648
17.05,0.708649,0.708653,0.708645
17.10,0.708645,0.708649,0.708641
17.15,0.708641,0.708646,0.708637
17.20,0.708637,0.708642,0.708633
17.25,0.708634,0.708638,0.708629
17.30,0.708630,0.708634,0.708625
17.35,0.708626,0.708631,0.708621
17.40,0.708622,0.708627,0.708618
17.45,0.708618,0.708623,0.708614
17.50,0.708614,0.708619,0.708610
17.55,0.708611,0.708615,0.708606
17.60,0.708607,0.708611,0.708602
17.65,0.708603,0.708608,0.708598
17.70,0.708599,0.708604,0.708594
17.75,0.708595,0.708600,0.708590
17.80,0.708591,0.708596,0.708586
17.85,0.708587,0.708592,0.708581
17.90,0.708583,0.708589,0.708577
17.95,0.708579,0.708585,0.708573
18.00,0.708575,0.708581,0.708569
18.05,0.708570,0.708577,0.708564
18.10,0.708566,0.708572,0.708559
18.15,0.708561,0.708568,0.708555
